Category,Service,Area of Work,Pricing Model,Certification,Type,Included,Possible extras,Conditions & Warnings
Exterior,Roofing,Pitched Roofing,Total price or m² of roof surface,No,Roof Tiles; Roof Slates; Roof Structure,Tile Slate Installation; Timber Structure Repair; Roof Insulation; Underlay Fitting; Flashings; Storm Damage Repair; Rooflight Dormer Installation; Natural Slate Finishing; Standard Insulation Underlay; Rooflight Dormer Integration; Solar Panel Installation; Skylight Installation; Natural Slate; Ventilation Systems; Lightning Protection; range m² roof area,Rooflight Dormer Integration; Solar Panel Installation; Skylight Installation; Natural Slate; Ventilation Systems; Lightning Protection,Building Control Notification; Structural Assessment Required
Exterior,Roofing,Flat Roofing,Total price or m² of roof surface,No,Felt Roofing; Rubber Roofing; PVC Roofing; Green Roof,Roof Covering Installation; Leak Repair; Roof Insulation; Edge Detail Finishing; Root Barrier; Drainage Installation; Green Roof Maintenance; Basic Insulation; Rainwater Outlet; Rooflight Installation; Acoustic Fire Layers; Green Roof System; Solar Integration; range m² roof area,Rainwater Outlet; Rooflight Installation; Acoustic Fire Layers; Green Roof System; Solar Integration,Additional Roof Load
Exterior,Roofing,Gutters & Drainage,Total price or per meter,No,Cast Iron; Aluminium; uPVC,Gutter Downpipe Installation; Leak Repair; Gutter Cleaning; Rainwater Connection; Water Butt Installation; Flashings; Basic Installation; Leaf Guard Installation; Rainwater Harvesting; Decorative Gutters; Building Type,Leaf Guard Installation; Rainwater Harvesting; Decorative Gutters,Scaffolding Access Required; Blockage Risk
Exterior,Façade Work,Not applicable,Total price or m² of façade surface,No,Cladding; Insulation; Rendering,Surface Preparation; EWI Installation; Render Application; Cladding Installation; Substrate Repair; Window Door Sealing; Standard Insulation; Premium Render; High-End Cladding; Integrated Lighting; Protective Coatings; range m2 Façade Area; Building Type,Premium Render; High-End Cladding; Integrated Lighting; Protective Coatings,Planning Permission Required; Weather Dependent Work; Scaffolding Required
Exterior,Solar PV & Battery Storage,Solar Panel Installation,Total price or m² of roof surface,No,Pitched Roof; Flat Roof; Ground-Mount; Façade-Mount,System Design; Mounting System Installation; Electrical Connections; Commissioning Inspection; Performance Monitoring; Standard Panels; Basic Monitoring; High-Efficiency Panels; Microinverters; Solar Trackers; Integrated Solar Tiles; Wp system power; range m2 Roof Area,High-Efficiency Panels; Microinverters; Solar Trackers; Integrated Solar Tiles; Battery Readiness,DNO Notification Required; Building Regs Approval; Structural Survey; Weather Dependent
Exterior,Solar PV & Battery Storage,Battery Storage,Total price,No,Li-ion; LiFePO4; Saltwater; Hybrid-Ready,Battery Unit Installation; Inverter Grid Connection; System Configuration; Safety Inspection; Basic Storage Capacity; App Monitoring; Larger Storage Capacity; Smart Energy Management; Backup Power; EV Charger Integration; kWh Battery Capacity,Larger Storage Capacity; Smart Energy Management; Backup Power; EV Charger Integration,Fire Safety Standards; Ventilation Space Required; G98/G99 Compliance
Exterior,Solar Panel & Battery,Hybrid Systems,Total price or m² of roof surface,No,PV + Battery; Islandable Systems; All-in-One,Hybrid System Design; Hybrid Inverter Installation; Energy Management Setup; Smart Home Integration; Combined PV Battery EV; Smart EV Charging; Peak Lopping; Heat Pump Integration; Additional Storage; Wp system power; range m2 Roof Area; kWh Battery Capacity,Smart EV Charging; Peak Lopping; Heat Pump Integration; Additional Storage,DNO Approval Required; G99 Compliance; Fire Safety Standards
Exterior,EV Charger,Not applicable,Total price,No,Standard Chargepoint; Dual Socket; Smart Chargepoint,Chargepoint Installation; Consumer Unit Connection; System Commissioning; Dual Chargepoint Installation; DNO Liaison; Load Balancing Setup; User Management; Basic Connection; Standard Enclosure; Standard Cable; Basic Configuration; Standard Software; Solar Integration; App Control; Three-Phase Power; Charge Management Software; Backend Management; Reporting Tools; kW Chargepoint Power,Solar Integration; App Control; Three-Phase Power; Grid Upgrade; Charge Management Software; Backend Management; Reporting Tools,Sufficient Grid Capacity; Consumer Unit Access; DNO Permission Required; Internet Connection Required
Interior,Interior Design,Not applicable,Total price,No,Terraced House; Semi-Detached House; Detached House; Room; Studio; Flat; Garage; Commercial Unit; Industrial Unit; Office; Storage Unit,Client Consultation; Mood Boards; Floor Plans; Finishes Selection; Lighting Plan; 3D Visualisations; Design revisions; Photorealistic Renders; Furniture Design; Showroom Visits; range m2 living area,Additional Iterations; Photorealistic Renders; Furniture Design; Showroom Visits,Client Brief Required; Site Measurements Needed
Interior,Plumbing,Sanitaryware & Kitchens,Total price,No,Bathroom Suite; WC; Bath; Shower; Taps; Sink; Washing Machine; Dishwasher; Gas Cooker,Sanitaryware Installation; Water Waste Connections; Appliance Installation; Furniture Tap Installation; Sealing; Basic Making Good; Basic Tap Installation; Luxury Bath; Rainfall Shower; Thermostatic Mixer; Water Softener; Smart Appliances; range m2 Bathroom Area,Luxury Bath; Rainfall Shower; Thermostatic Mixer; Water Softener; Smart Appliances,Water Regulations Compliance
Interior,Plumbing,Boilers & Heating,Total price,No,Boiler; Radiators; Central Heating; Underfloor Heating,New Boiler Installation; Radiator Installation; UFH Installation; Pipework Pump Connection; System Servicing; Smart Thermostats; High-Efficiency Boiler; Hybrid System; Solar Thermal Integration; Designer Radiators; UFH Controls; range m2 Heated Area; Building Type,Smart Thermostats; High-Efficiency Boiler; Hybrid System; Solar Thermal Integration; Designer Radiators; UFH Controls,Gas Safe Registration; Annual Service Required; UFH Floor Build-Up
Interior,Plumbing,Pipework,Total price,No,New Installation; Repairs; Unblocking; Leak Detection; Water Pumps,New Pipework Runs; Leak Repairs; Drain Unblocking; Leak Detection; Pump Installation; Making Good; Pipework Chaseing; Water Recycling Systems; Smart Leak Detection; Building Type,Water Recycling Systems; Smart Leak Detection; Isolation Valves; Pump Installation,Water Regulations Compliance
Interior,HVAC,Air Conditioning,Total price,No,Monobloc; Split Systems; VRV/VRF; Central Plant,Heat Load Calculation; Indoor Outdoor Unit Installation; Indoor Unit Only; Refrigerant Pipework; System Commissioning; Basic Remote; Multi-Zone Systems; BMS Integration; Air Purification; Concealed Ducting; Large Building Systems; kW system power; Building Type; range m2 living area,Multi-Zone Systems; BMS Integration; Air Purification; Concealed Ducting; Large Building Systems,F-Gas Compliance; Facade Penetration Permit
Interior,HVAC,Heat Pumps,Total price,No,Air-Source; Ground-Source; Exhaust Air; Hybrid,Heat Loss Calculation; Unit Installation; Hydraulic Electrical Connections; Control Configuration; Performance Testing; Retrofit Connection; Ground Boreholes; Hybrid Boiler Integration; UFH Integration; Solar Battery Integration; Smart Controls; System Capacity; Building Type; Gross Internal Area; kW system power; Building Type; range m2 living area,Ground Boreholes; Hybrid Boiler Integration; UFH Integration; Solar Battery Integration; Smart Controls,MCS Certification; Outdoor Space Required
Interior,HVAC,Ventilation,Total price,No,Extract Only; MEV; MVHR; dMEV,Airflow Assessment; Ductwork Installation; Grille Installation; Heat Recovery Unit; System Balancing; Basic Extract System; Standard Unit; Demand Control; Humidity Control; App Monitoring; Acoustic Ducting; m3/h Airflow; Building Type; range m2 living area,Demand Control; Humidity Control; App Monitoring; Acoustic Ducting,Building Regs Compliance; Regular Cleaning Required
Interior,Electrician,Not applicable,Total price,No,Lighting; Rewiring; Backup Generator; Appliance Installation; Heating Controls; Consumer Unit; Sockets & Switches,First Fix Second Fix; Electrical Upgrade; Consumer Unit Installation; Socket Switch Installation; Light Fitting Installation; Generator Installation; Appliance Connection; Smart Thermostat Installation; EICR Testing; BS 7671 Compliance; Standard Wiring; Basic Lighting; Smart Home Integration; Smart Lighting Control; RCBO Consumer Unit; PIR Sensor Lighting; Automatic Changeover; EV Charger Connection; Building Type; range m2 living area,Smart Home Integration; Smart Lighting Control; RCBO Consumer Unit; PIR Sensor Lighting; Automatic Changeover; EV Charger Connection,Part P Compliance; Safe Isolation Required
Interior,Insulation,Not applicable,Total price or m² of work surface,No,Loft; Floor; Wall; Cavity Wall; Suspended Floor; Basement,Thermal Insulation Installation; Acoustic Insulation Installation; Vapor Barrier Installation; Cavity Wall Injection; Suspended Floor Insulation; Insulation Board Application; Combined Roof Works; Building Regs Compliance; High-Performance Insulation; Fire-Resistant Insulation; Vapor Control; Solar Integration; range m2 Insulation Area; Building Type,High-Performance Insulation; Fire-Resistant Insulation; Vapor Control; Solar Integration,Dry Conditions Required; Clear Access Required
Interior,Drywall & Plaster,Not applicable,Total price or m² of work surface,No,Partition Walls; Ceiling Systems; Skim Coat; Decorative Finishes,Plaster Application; Studwork Boarding; Jointing Finishing; Decoration Preparation; Basic Sanding; Smooth Finish; Decorative Plaster; Moisture-Resistant Board; Acoustic Board; Insulated Lining; Recessed Lighting; Coving Architrave; Textured Finishes; range m2 working Area,Decorative Plaster; Moisture-Resistant Board; Acoustic Board; Insulated Lining; Recessed Lighting; Coving Architrave; Textured Finishes,Dry Conditions Required; Curing Time Needed
Interior,Windows & Doors,Doors,Total price or m² of window/door,No,Internal Doors; External Doors; Sliding Doors; Hinged Doors,Site Survey; Door Frame Installation; Ironmongery Installation; Architrave Sealing; Airtight Sealing; Standard Door; Basic Installation; Acoustic Doors; Fire Doors; Premium Finishes; High-Security Locks; Automatic Operators; Glazed Doors; building type,Acoustic Doors; Fire Doors; Premium Finishes; High-Security Locks; Automatic Operators; Glazed Doors,Building Control Approval
Interior,Windows & Doors,Windows,Total price or m² of window/door,No,uPVC Windows; Timber Windows; Aluminium Windows; Rooflights; Dormers; Sliding Sash,Window Survey; Existing Window Removal; New Window Installation; Airtight Sealing; Rooflight Installation; Double Glazing; Standard Profile; Basic Trims; Triple Glazing; Electric Operators; Integrated Shutters; Alu-Clad Timber; Acoustic Glazing; range m2 window area; building type,Triple Glazing; Electric Operators; Integrated Shutters; Alu-Clad Timber; Acoustic Glazing,Building Regs Compliance; Planning Permission Dormers
Interior,Windows & Doors,Locksmiths,Total price,No,Emergency Entry; Lock Fitting; Lock Repairs,Locked Out Service; Cylinder Lock Replacement; Lock Repair; Multi-Point Lock Installation; Door Adjustment; High-Security Cylinders; Smart Lock Installation; Door Viewer Installation; Post-Break-in Repair,High-Security Cylinders; Smart Lock Installation; Door Viewer Installation; Post-Break-in Repair,ID Ownership Verification; Damage Risk
Interior,carpentry,Not applicable,Total price or m² of material,No,Fitted Furniture; Doors; Staircases; Panelling; Mouldings,Design Survey Installation; Built-in Wardrobes; Internal Door Manufacture; Staircase Installation; Wall Panelling; Decorative Mouldings; Joinery Repairs; Bespoke Joinery; Basic Assembly; Premium Finishes; Integrated Lighting; Fire-Rated Doors; Acoustic Panels; Ornamental Mouldings; Metal Glass Integration; Joinery Area,Premium Finishes; Integrated Lighting; Fire-Rated Doors; Acoustic Panels; Ornamental Mouldings; Metal Glass Integration,Humidity Temperature Control
Interior,Painter & Wallpaperer,Not applicable,Total price or m² of work surface,No,Internal; External; Wallcoverings,Surface Preparation; Filling Sanding; Primer Application; Wallpaper Hanging; Two Coat Paint; Special Effects; Airless Spraying; Premium Paint; Bespoke Wallpaper; Masonry Paint; range m2 working Area; Building Type,Special Effects; Airless Spraying; Premium Paint; Bespoke Wallpaper; Masonry Paint,Sound Substrate Required; Drying Times Critical
Interior,Flooring,Not applicable,Total price or m² of work surface,No,Tiles; Wood Flooring; Laminate; Vinyl; Carpet; Engineered Wood; Resin,Substrate Preparation; Floor Installation; Skirting Trims; Cutting Fitting; Grouting; Sanding Sealing; Carpet Fitting; Resin Application; UFH Integration; Acoustic Underlay; Wet Area Tanking; Anti-Slip Treatment; Pattern Inlays; Old Floor Removal; range m2 working Area; Building Type,UFH Integration; Acoustic Underlay; Wet Area Tanking; Anti-Slip Treatment; Pattern Inlays; Old Floor Removal,Dry Stable Substrate; Strict Curing Times
Interior,Kitchen Fitting,Not applicable,Total price,No,Full Kitchen; Flat-Pack Kitchen; Cabinets; Worktops; Appliances,Old Kitchen Removal; Cabinet Worktop Installation; Sink Tap Installation; Appliance Installation; Basic Connections; Premium Materials; Bespoke Kitchens; Integrated Lighting; Handleless Design; range m2 Kitchen Area,Premium Materials; Bespoke Kitchens; Integrated Lighting; Handleless Design,Utilities Disconnection Required; Appliance Dimensions Needed
Interior,Smart Home,Not applicable,Total price or per piece,No,Intruder Alarm; CCTV; Fire Detection; Video Doorbell; Heating Controls; Multi-Room Audio; Smart Lighting; Automation,Consultation Design; Device Installation; Network Integration; App Setup; Scene Programming; Access Control; Monitored Alarm; Smart Locks; Whole-House Audio; Lighting Control; HVAC Integration; Voice Control; Control Panels; Building Type,Monitored Alarm; Smart Locks; Whole-House Audio; Lighting Control; HVAC Integration; Voice Control; Control Panels,Stable Network Essential; Police Response URN
Interior,Sun blinds,Internal Blinds,Total price or m² of material,No,Curtains; Venetians; Roller Blinds; Shutters,Window Measurement; Track Installation; Blind Fitting; Basic Operation; Manual Control; Standard Fabrics; Timber Blinds; Motorised Control; Smart Control; Blackout Fabrics; Designer Shutters; range m2 area; Building Type,Motorised Control; Smart Control; Blackout Fabrics; Designer Shutters,Precise Measurements Required; Timber Shrinkage Risk
Interior,Sun blinds,External Blinds,Total price or m² of material,No,External Rollers; Awnings; Patio Blinds; Brise Soleil,Facade Measurement; Bracket Installation; Blind Awning Installation; Wind Loading; Standard Fabrics; Manual Operation; Motorised Control; Weather Sensors; Smart Home Integration; Security Shutters; Premium Fabrics; range m2 area; Building Type,Motorised Control; Weather Sensors; Smart Home Integration; Security Shutters; Premium Fabrics,Planning Permission Required; Wind Damage Risk
Interior,Sun blinds,Garden Structures,Total price or m² of material,No,Pergolas; Free-Standing Screens; Cantilever Umbrellas; Shade Sails; Verandas,Garden Measurement; Structure Installation; Shade Installation; Construction; Ground Fixing; Standard Structures; Motorised Operation; Glazed Panels; Integrated Heating Lighting; Weather Sensors; Premium Fabrics; range m2 area; Building Type,Motorised Operation; Glazed Panels; Integrated Heating Lighting; Weather Sensors; Premium Fabrics,Building Control Approval; Foundation Requirements
Outdoor work,Driveways & Garages,Paving & Surfacing,Total price or m² of work surface,No,Block Paving; Tarmac; Gravel; Natural Stone; Resin Bound,Ground Excavation; Sub-Base Installation; Paving Laying; Jointing Edging; Fall Drainage; Premium Stone; Resin Surfacing; Snow Melt Systems; Drainage Systems; In-Ground Lighting; range m2 working area,Premium Stone; Resin Surfacing; Snow Melt Systems; Drainage Systems; In-Ground Lighting,Ground Bearing Capacity; Weather Delays Possible
Outdoor work,Driveways & Garages,Garage Construction,Total price,No,Garage Doors; Integral Garage; Detached Garage; Repairs,Garage Door Installation; Brickwork Construction; Power Lighting; Door Repair; Internal Finishing; Standard Sectional Door; Basic Construction; Motorised Operation; Smart Control; Insulation Lining; Heating Lighting; Premium Finishes; range m2 Garage Area; Car Capacity,Motorised Operation; Smart Control; Insulation Lining; Heating Lighting; Premium Finishes,Building Regulations Approval; Damp Proof Course
Outdoor work,Driveways & Garages,Carports,Total price,No,Steel; Timber; Combination,Site Survey; Foundation Work; Structure Assembly; Roof Covering; Water Drainage; Premium Glazing; Integrated Solar; Power Lighting; Integrated Storage; Side Panels; range m2 Carport Area; Car Capacity,Premium Glazing; Integrated Solar; Power Lighting; Integrated Storage; Side Panels,Planning Permission Required; Suitable Foundations
Outdoor work,Fencing & Gates,Gates,Total price,No,Swing Gates; Sliding Gates; Double Gates; Pedestrian Gates,Site Survey; Foundation Construction; Gate Erection; Hinge Track Installation; Basic Finishing; Standard Manual Gate; Basic Hardware; Motorised Operation; Smart Access Control; Premium Finishes; Integrated Intercom; Security Systems; range m2 Gate Area,Motorised Operation; Smart Access Control; Premium Finishes; Integrated Intercom; Security Systems,Foundation Stability Critical
Outdoor work,Fencing & Gates,Fencing,Total price or per meter,No,Timber Fencing; Metal Railings; Composite Fencing; Concrete Panels,Post Installation; Panel Installation; Post Capping; Concrete Foundations; Basic Treatment; Standard Installation; Premium Metalwork; Acoustic Fencing; Composite Panels; Living Wall; Integrated Lighting; range Fence Length (meter),Premium Metalwork; Acoustic Fencing; Composite Panels; Living Wall; Integrated Lighting,Planning Permission Possible; Wind Load Consideration
Outdoor work,Landscaping,Garden Design,Total price or m² of ground surface,No,Lawn; Artificial Turf; Planting; Trees; Hard Landscaping; Paths,Ground Levelling; Turf Laying; Planting; Border Creation; Path Creation; Mulching; Mature Plants; Ornamental Features; Soil Conditioning; range m2 working area,Irrigation Systems; Mature Plants; Ornamental Features; Soil Conditioning; Pathway Lighting,Tree Preservation Orders
Outdoor work,Landscaping,"Paving, Decking & garden building",Total price or m² of ground surface,No,Patio; Decking; Porcelain Tiles; Composite Decking,Ground Stabilisation; Subframe Construction; Paving Decking Installation; Garden Building Installation; Basic Sealing; Basic Shed; Premium Paving; Pergola Construction; Outdoor Heating Lighting; Insulated Garden Room; Rainwater Harvesting; range m2 working area; m3 size garden building,Premium Paving; Pergola Construction; Outdoor Heating Lighting; Insulated Garden Room; Rainwater Harvesting,Building Control Approval; Ground Conditions
Outdoor work,Landscaping,Water Features,Total price or m² of ground surface,No,Ponds; Fountains; Irrigation,Earthworks; Liner Installation; Pump Filter Installation; Water Feature Creation; Sprinkler Installation; Ornamental Pond; Automated Irrigation; Illuminated Fountain; Koi Pond System; range m2 working area,Ornamental Pond; Automated Irrigation; Illuminated Fountain; Koi Pond System,Council Approval Required; Pump Maintenance
Outdoor work,Landscaping,Garden Maintenance,Total price or m² of work surface or per hour,No,Lawn Care; Pruning; Feeding; Clearance; Lawn Treatments,Grass Cutting; Hedge Trimming; Fertilising; Waste Removal; Lawn Treatments; Pest Disease Control; Lawn Scarification; Tree Surgery; Robotic Mower; Organic Treatments; range m2 lawn; range m2 shrubs & trees,Lawn Scarification; Tree Surgery; Robotic Mower; Organic Treatments; Green Waste Removal,PPE Required
Outdoor work,Landscaping,Garden Lighting,Total price or m² of ground surface,No,Spike Lights; Wall Lights; Bollard Lights; Deck Lights,Fixture Installation; Cable Connection; Lamp Installation; Basic Switching; Manual Control; Smart Control; Sensor Control; Colour Changing Lights; In-Paving Lights; Solar Lights; range m2 working area,Smart Control; Sensor Control; Colour Changing Lights; In-Paving Lights; Solar Lights,Part P Compliance; Safe Isolation
Outdoor work,Pools & Spas,Swimming Pools,Total price,No,Indoor Pool; Outdoor Pool; Liner Pool; Concrete Pool,Earthworks; Pool Shell Installation; Filtration Installation; Coping Finishing; System Start-Up; Standard Liner Pool; Basic Steps; Mosaic Tiling; Heat Pump; Automatic Cover; Underwater Lighting; Smart Control; range m2 Pool size; range m3 Pool Volume,Mosaic Tiling; Heat Pump; Automatic Cover; Underwater Lighting; Smart Control,Building Control Approval; Soil Conditions; Water Chemistry
Outdoor work,Pools & Spas,Hot Tubs,Total price,No,In-Ground Tub; Above-Ground Tub; Portable Spa,Tub Placement; Plumbing Electrical; Start-Up Procedure; Surrounding Works; Standard Tub; Premium Jets; Premium Materials; Enclosed Structure; Smart Control; range m2 Area,Premium Jets; Premium Materials; Enclosed Structure; Smart Control,Solid Base Required; Water Maintenance
Outdoor work,Pools & Spas,Wellness Rooms,Total price,No,Sauna; Steam Room; Infrared Room,Room Survey; Heater Installation; Interior Finishing; Safety Checks; Basic Cabin; Premium Finishes; Air Management; Chromotherapy; Smart Control; range m2 Area,Premium Finishes; Air Management; Chromotherapy; Smart Control,Ventilation Extraction Required
Outdoor work,Exterior Cleaning,Not applicable,Total price or m² of work surface,No,Jet Washing; Soft Washing; Graffiti Removal; Gutter Clearing,Pressure Washing; Biofilm Removal; Chemical Treatment; Joint Repointing; Drain Flushing; Crack Inspection; Protective Coating; Anti-Growth Treatment; Joint Impregnation; CCTV Survey; Roof Repair; Gutter Guard Installation; range m2 working Area; Building Type,Protective Coating; Anti-Growth Treatment; Joint Impregnation; CCTV Survey; Roof Repair; Gutter Guard Installation,Traffic Management Required; Surface Damage Risk
Outdoor work,septic system,Not applicable,Total price,No,Drain Unblocking; Tank Emptying; CCTV Survey; Repair,Tank Emptying; Line Jetting; Drain Rodding; Tank Cleaning; Structural Repair; Odour Neutralisation; CCTV Inspection; Pressure Testing; High-Pressure Jetting; Non-Return Valves; Odour Filters; CCTV Report; Resin Repair; range m3 Tank Capacity,Non-Return Valves; Odour Filters; CCTV Report; Resin Repair,Safe Access Required
Small tasks,Pest Control,Not applicable,Total price or m² of floor surface,Yes,Rodent Control; Insect Control; Bird Proofing,Infestation Survey; Baiting Trapping; Proofing Works; Nest Location; Insecticide Application; Nest Removal; Bird Deterrents; One-Off Treatment; Ultrasonic Deterrents; Sealing Works; Deep Cleaning; range m2 living Area; Building Type,Sealing Works; Repeat Treatments; Ultrasonic Deterrents; Deep Cleaning,Full Access Required; Temporary Vacuation Possible
Small tasks,Window Cleaning,Not applicable,Total price or m² of work surface or per hour,No,Internal Cleaning; External Cleaning; High-Level; Film Application,Window Washing; Drying Polishing; Frame Cleaning; Pole Ladder Work; Film Installation; Water-Repellent Coating; Bespoke Film; Conservatory Cleaning; Rope Access; Descaling Treatment; range m2 window Area; Building Type,Water-Repellent Coating; Bespoke Film; Conservatory Cleaning; Rope Access; Descaling Treatment,Warranty Implications
Small tasks,Cleaning,Domestic Cleaning,Total price or m² of work surface or per hour,No,Regular Clean; End of Tenancy; Builders Clean,Vacuuming Mopping; Kitchen Bathroom Cleaning; Rubbish Removal; Construction Clean; Deep Cleaning; Descaling; Appliance Cleaning; Window Cleaning; Carpet Cleaning; Odour Removal; Sanitisation; range m2 cleaning area; building type,Appliance Cleaning; Window Cleaning; Carpet Cleaning; Odour Removal; Sanitisation,Water Electricity Access
